爐鍋咖啡,cb9e46a1-72b0-49d8-aeb1-de0130abb803
拾米屋,6d8a24e3-975e-4b4e-a53c-dda90cf99397
Cafe Solo Singer Life,f494ca67-3193-4745-acd1-0d8f66bb238f
N cafe,dcd73d04-f20b-4311-a6ea-aafdc0ff41d7
10 square cafe,d8d96b30-f08f-4b6d-969f-51f3a655d6a6
創客咖啡館 V CAfé,196bab63-bdb1-4b2a-87ca-232d2727f90b
夢遊咖啡館 Longtimeago Café,9b4bed00-a04d-4116-bc26-435f257e9596
917 好事咖啡創意廚房,30ea8489-004d-45c1-a34d-10c4e009f820
新文明咖啡館,a8236ee1-f21c-4eb9-84e1-30e9f1a724a7
咖啡走廊COFFEE HALL  敦南店,d568f924-f7e2-4340-a34f-afc62440fcb4
布朗奇咖啡 敦南店,cbb597d8-fb47-4145-abfc-7b92962452d1
奧蘿茉 OROMO CAFE 敦南店,9d1e08bb-cef3-4abc-88c5-8a2992fdf449
homey's cafe,aa653021-e60a-434b-a52d-7c4cf5326d4e
IMP Dining Cafe',0e29dc15-fdf5-4312-898c-0d25a5769fe1
Workis工作是,65df112c-c667-49a7-9584-e32e63ea085e
4am cafe ,078ea4eb-7a91-460a-998d-8c14142b43df
自然醒咖啡公寓,36768289-4b0d-4fcf-a3cb-392ff110fd3e
Stoppage Time 補時,60f0dc73-3775-434b-a2ca-7a8fc9ae120a
老木咖啡,1b49ecaa-35ba-49f2-8837-12b78cb5f712
統將咖啡和平店,b2684e12-bf7b-45e3-b198-e319ba44c337
混hun,ea197322-534b-4533-af21-00825252a426
咖啡黑潮 Cafe Kuroshio ,775e65cc-9569-45fb-8b0d-7c7250360cc6
Sugar Man Cafe,b629dbfa-754a-4a62-b355-09a178333168
5 Senses Café（公館）,2fc6d58b-d8d4-4f12-afd3-4ea5c875705c
苔毛,de8eeb6e-d6ca-4fa3-a442-bc4b8182c390
泰比咖啡,5c61ef32-97fd-4e09-bb4e-bd72308d7ed5
挑豆院,cb0ab018-1410-4368-8acc-c15b85de097d
半路咖啡halfway cafe,0fa59083-9ec5-4276-9179-edb0ffa6f7eb
喜鵲咖啡,164da9ef-26fc-4cc9-b0bf-9268bfcabd36
Aura微光咖啡,4bc94493-cef9-4610-8d3b-ecab5ecf9abe
城市草倉 C-tea loft,34d06af5-3c65-4e62-8db3-340722527204
日楞咖啡,26fa12a2-c791-49f4-82b4-f1d660aee546
貳月咖啡,95113620-6d65-439c-a18a-f8ec519b2705
鄰居咖啡Neighbor's Cafe,bf550e68-873e-4c9f-b3b7-a31f737e420b
青田七六,13d77f11-8fca-462a-b0b6-822e22d52a34
暮光咖啡／Twilight Cafe,1d11654b-aa29-4cc1-9af4-70f0246225a4
Homie Cafe,cd7b35e1-b179-47de-9cf7-881dce632f33
Angle cafe',5c8735e8-1a50-42d5-a869-48f89a7ab4c3
水牛書店,2d149b77-026e-402b-a471-93c3e498b1d7
避世所,21e000f6-cfa0-4a0d-98f1-458185114051
未央咖啡店,06c2c234-719e-44a2-b4b7-6029e52bdaf7
22Café - 22號咖啡館,c3a756ce-daa8-401d-9c6d-244a028bb29a
極簡咖啡廳 minimal cafe,3504c3d0-0d07-402d-9619-71ef4d4271b6
咖啡瑪榭通化店,66c51762-0cc4-4820-b962-15748085dffb
欒樹下書房咖啡,1a13ad55-9405-4710-9afa-d660edf8f6b1
路上撿到一隻貓,a8d83906-0fd1-4725-b494-c030d2964991
統將咖啡溫州店,32054ede-8c48-47d3-be8e-fc71fb72fcfe
Picnic 野餐咖啡,7183bcdf-371d-4662-9394-347b90f91102
Congrats Café,d79ea0fe-1591-49d5-8f44-79bd51887589
Miuya Cafe 米屋珈琲,63ea6d7e-f6dc-464f-a8d7-882a96863abe
巴黎米咖啡 Cafe 8mm,44212886-aefc-464d-928a-8602f024ac54
人性空間 新生南路店,1b52d379-7025-47ab-88b7-b8e4eb103ab3
Imperfect coffee(cafe),1987ae9b-d1c9-4d1a-9593-03832fad46d4
溫床 NEST,1942b20a-a2ae-43ce-9a0c-bdfe9adba3fe
微客棧人文空間,3578890e-85ae-4374-b3b8-343479378edf
Powder Workshop,f97fad9a-5dd9-48e4-a4d8-b699f161dbb2
At Home Cafe,fe3d1e0e-68c9-4db9-bde5-14eb114127d7
這間咖啡,7a8cca92-23c6-469e-ae13-3fe4dcda326e
理想時光,881e620e-f289-4a75-95c9-fe4a3b9f9392
小孩散步 TOT Ta-Ta,273da131-ab2b-4545-9583-1722f111ecc2
敲敲咖啡 KNOCK KAFE,373ceb75-eeb2-4727-b5d9-18bb95db9137
左道 MinDemons,a69e3cb2-1e8b-41c5-a431-64ca8b215c87
羊毛與花,e5458190-ba1e-442b-b0ae-516979c761fe
forgood 好多咖啡,39b74a3e-654c-4dab-87a8-0daf315cac56
鴉埠咖啡 Yaboo,528b712b-81d5-447d-b27e-c9bc9592c9da
小米酒咖啡館,ed3ae2ba-e8e3-447a-8b32-a1328036f437
慢步調咖啡館,5ad875ed-abf1-427c-b1a1-deb093bc3003
Peekaboo Coffee 彼咖舖咖啡,5760ac50-5ce8-411d-b055-6604e1274ac6
COSTUMICE CAFÉ,b3cd9ba2-5596-4203-ae60-4d1e596e798b
"兜味, doorway cafe",b8be8f46-4be8-471e-a137-7a5a70814e5b
Nichi Nichi 日子咖啡,67b45df0-4533-4d87-9b6e-134772aec3f5
共楽,6c58122b-ffee-4937-a480-8c9616a925e6
ILHA FORMOSA CAFÉ,92b5e1ca-f0db-4564-b295-1882f7a3dcd2
上下誌空間 underon,69ae0dea-36f6-4f40-8a56-f7c7b7cbb81c
Modern Mode Café,44161525-f450-43b1-b21b-7efa76d72848
392 café,baf0cc24-d172-4b55-b818-46f970d4c5f9
啡創工廠 Future Factory,01af53e4-5472-45ef-b05b-2e642ea61639
蘑菇咖啡MOGU CAFE',60264403-bfaf-43e6-9c74-b062122116e0
61 Note,8c2d4987-5749-427b-be26-42bca14e3479
找地方坐Have a seat,ac30d8b4-9ba5-47ed-bae1-efbc4a9151aa
角咖啡,297ab8a1-465d-4959-8bcd-b497fa31141c
CO77EE,8519fcd3-6290-40be-8cda-c133d9f90646
Seeking Café,cc79efcd-0a76-49f8-ae76-40acfea3ee05
肯達咖啡,eb63c3b8-0b6d-4660-91ba-bc75115ea2b0
